,,,
Queen Millennia 1000 OST, 1982, Angel Queen(Moive), Dara Sedaka
FInal Fantasy 8 OST, 1999, Eyes on me, Faye Wong
FInal Fantasy 9 OST, 2000, Melodies of Life(Japanese ver), Shiratori Reiko
Final Fantasy 10 OST, 2001, Suteki da ne, Rikky
Please Save My Earth OST1, 1994, Mikkatsuki no shindai, Akino Arai
Ghibli Experimental Theater OST, 1995, On Your Mark, CHAGE & ASUKA
Escaflowne OST1, 1996, Dance of curse, Yoko Kanno
The Place Promised in Our Early Days OST, 2004, Your Voice, Heart
Giant Robo_The Day the Earth Stood Still OVA OST1, 1992-1998, Track 06.Tragedy Occurs Again... (after Gregorian Chant Dies Irae), Masamichi Amano
Giant Robo_The Day the Earth Stood Still OVA OST1, 1992-1998, Track 12.The Tragedy of Bashtarle_L'Elisir d'Amore_Una Furtiva Lagrima, Masamichi Amano
KOREA MBC 옷소매붉은끝동 OST, 2022, 그대 손 놓아요, 이선희
Giant Robo_The Day the Earth Stood Still OVA OST2, 1992-1998, Track 02.Rush! Issei & Youshi, Masamichi Amano
Giant Robo_The Day the Earth Stood Still OVA OST2, 1992-1998, Track 15.Episode 2 Ending, Masamichi Amano
Giant Robo_The Day the Earth Stood Still OVA OST3, 1992-1998, Track 05.Paris in Ruins_Alberto and Ivan, Masamichi Amano
Giant Robo_The Day the Earth Stood Still OVA OST4, 1992-1998, Track 01.String Quartet_The Great Dusk, Masamichi Amano
Giant Robo_The Day the Earth Stood Still OVA OST4, 1992-1998, Track 07.Men's Heated Battle (Alberto's Theme), Masamichi Amano
Giant Robo_The Day the Earth Stood Still OVA OST5, 1992-1998, Track 03.A Father's Soul_Fate of the Day, Masamichi Amano
Giant Robo_The Day the Earth Stood Still OVA OST6, 1992-1998, Track 12.Daisaku's Determination, Masamichi Amano
Giant Robo_The Day the Earth Stood Still OVA OST7, 1992-1998, Track 04.Line of Death ~ Farewell Kenji Murasame, Masamichi Amano
Jin-Roh(人狼) OST, 2000, Track 22.grace(Jinroh-Main Theme)~omega, Gabriela Robin
Space Pirate Captain Herlock The Endless Odissey OST, 2003, Track 01.The Endless Odissey (full opening), Takayuki Hattori
Space Pirate Captain Herlock The Endless Odissey OST, 2003, Track 23.Nameless Lonely Blues, Tia
A League of their Own OST, 1992, This Used To Be My Playground, Madonna(Included in the 1995 album ‘Something To Remember’)
Le Professionnel OST, 1981, Chi Mai, Ennio Morricone
Chelsia My Love OST, 1976, sideA_Track 02.One Summer Night, Chelsia Chan & Kenny Bee
Blood+ OST, 2006, Track 14.Grand Theme, Mark Mancina & Hans Zimmer
Blood+ OST, 2006, Track 15.Diva, Mark Mancina & Hans Zimmer
Elfen Lied OST, 2004, Lilium(Opening Full Ver), Kumiko Noma
Claymore OST, 2007, op_レゾンデ―トル(Raison d'Etre), Nightmare
Claymore OST, 2007, ed_Danzai no Hana, Guilty Sky
KOREA tvN 시그널 PART 4 OST, 2016, 길(THE ROAD), 김윤아
KOREA MBC 연인 OST, 2023, 다만 마음으로만, 안은진
Karas OST, 2007, Track 01.Karas Kenzai (Shikkoku no Tatakai Hen Urban-1), Yoshihiro Ike
Karas OST, 2007, Track 24.Under Fire, Sasja Antheunis
Karas OST, 2007, Track Bonus_Karas ED.Selenite, Rurutia
The Godfather OST, 1972, Speak Softly Love(Love Theme_another album), Andy Williams
Serial Experiments Lain OST, 1998, Duvet(Opening), BOA
Serial Experiments Lain OST, 1998, Deeply, BOA
Kill Bill Vol 1 OST, 2003, Bang Bang(My Baby Shot Me Down), Nancy Sinatra
Kill Bill Vol 2 OST, 2004, Goodnight Moon, Shivaree
Miss Saigon OST, 1989, I Still Believe, Lea Salonga & Claire Moore
The Color Of The Night OST, 1994,The Color Of The Night, Lauren Christy 
The Graduate OST, 1967, The Sound of Silence, Simon & Garfunkel
The Graduate OST, 1967, Mrs. Robinson(another album), Simon & Garfunkel
