,,,
0001,New Trolls,Adagio_Shadows,1971
0002,Tommy Page,A Shoulder to Cry On,1988
0003,France Gall,Ce soir je ne dors pas,1976
0004,France Gall,Poupée de cire poupée de son,1965
0005,KPOP 강수지,흩어진 나날들,1991
0006,Madonna,Frozen,1998
0007,Baccara,Yes Sir. I Can Boogie,1977
0008,Arabesque,Hello Mr. Monkey,1977
0009,Arabesque,Love Is Just A Game,1978
0010,Mary Hopkin,Those Were The Days,1968
0011,Mary Hopkin,Goodbye,1969
0012,Mary Hopkin,If You Love Me,1976
0013,Chris Rea,And You My Love,1991
0014,The Alan Parsons Project,Old and Wise,1982
0015,The Alan Parsons Project,Eye In The Sky,1982
0016,Vicky Leandros,White House,1968
0017,Melanie Safka,The Saddest Thing,1971
0018,Roberta Flack,The First Time Ever I Saw Your Face,1969
0019,Roberta Flack,Killing Me Softly With His Song,1973
0020,Dusty Springfield,The Look of Love,1967
0021,Dusty Springfield,Windmills Of Your Mind,1969
0022,Sylvie Vartan,La Maritza,1968
0023,Dalida & Alain Delon,Paroles paroles,1973
0024,Gary Moore,Still Got The Blues,1990
0025,Yaki-Da,I Saw You Dancing,1994
0026,Janis Ian,At Seventeen,1975
0027,Janis Ian,In the Winter,1975
0028,KPOP 김윤아,봄날은 간다(Spring day goes),2001
0029,KPOP 김윤아,야상곡(Nocturne),2004
0030,Joan Baez,Donna Donna,1960
0031,Joan Baez,The River In The Pines,1965
0032,Joan Baez,Diamonds And Rust,1975
0033,Nancy Sinatra & Lee Hazlewood,Summer Wine,1967
0034,Nancy Sinatra & Lee Hazlewood,Paris Summer,1972
0035,Nancy Sinatra,The Shadow Of Your Smile,1966
0036,Dusty Springfield,You Don't Have To Say You Love Me,1966
0037,Marianne Faithfull,This Little Bird,1965
0038,Marianne Faithfull,Scarborough Fair,1966
0039,Jennifer Paige,Crush,2012
0040,Gary Moore,In My Dreams,2021
0041,Blackmore's Night,Track 01.Shadow Of The Moon (Shadow Of The Moon),1997
0042,Blackmore's Night,Track 05.Ocean Gypsy (Shadow Of The Moon),1997
